"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-0.591703782578424,0.996,0.99,0,"0","RPL24"
0,-0.648783091790172,1,0.994,0,"0","RPL34"
0,-0.675880442993281,0.999,0.994,0,"0","RPL29"
0,-0.697238944764075,1,0.993,0,"0","RPS28"
0,-0.703555093676716,0.996,0.995,0,"0","RPL15"
0,-0.73027976094441,1,0.995,0,"0","RPL11"
0,-0.733724101597475,1,0.996,0,"0","RPL35A"
0,-0.755009986205809,0.965,0.988,0,"0","RPL4"
0,-0.757852835069778,0.998,0.993,0,"0","RPL9"
0,-0.762248144944047,0.999,0.991,0,"0","RPS7"
0,-0.77083968170508,0.987,0.989,0,"0","RPL27"
0,-0.782120816411237,1,0.998,0,"0","EEF1A1"
0,-0.783489611733406,1,0.992,0,"0","RPL12"
0,-0.785605144304985,1,0.996,0,"0","RPS3A"
0,-0.7931010127699,0.998,0.994,0,"0","RPS15"
0,-0.818689005159487,1,0.995,0,"0","RPL30"
0,-0.832019294748263,0.999,0.992,0,"0","RPS8"
0,-0.874558717139364,0.999,0.991,0,"0","RPL18"
0,-0.884748389058394,0.997,0.993,0,"0","RPL7A"
0,-0.891466217549777,1,0.993,0,"0","RPS14"
0,-0.901525266497409,0.999,0.992,0,"0","RPLP2"
0,-0.912761583296814,1,0.995,0,"0","RPL21"
0,-0.914417783243882,0.999,0.993,0,"0","RPL37"
0,-0.915165597095673,1,0.995,0,"0","RPL32"
0,-0.918904485075325,0.991,0.993,0,"0","RPL37A"
0,-0.920070805656047,0.965,0.981,0,"0","RPS10"
0,-0.92709954440895,0.997,0.992,0,"0","RPL14"
0,-0.94694534825522,0.998,0.991,0,"0","RPS4X"
0,-0.94952057913985,1,0.994,0,"0","RPS15A"
0,-0.956509874288142,0.963,0.987,0,"0","RPL27A"
0,-0.963143888683214,0.995,0.99,0,"0","RPL5"
0,-0.972282913265673,1,0.995,0,"0","RPS2"
0,-0.976757646595955,0.933,0.981,0,"0","RPLP0"
0,-0.979640513511209,0.962,0.981,0,"0","RPS20"
0,-0.986548051223878,1,0.997,0,"0","RPL41"
0,-0.997333445589234,0.999,0.997,0,"0","RPL10"
0,-1.00830602102876,1,1,0,"0","MALAT1"
0,-1.01321568416582,0.978,0.987,0,"0","RPL38"
0,-1.0192639419039,1,0.993,0,"0","RPS23"
0,-1.02041607219782,0.998,0.994,0,"0","RPL18A"
0,-1.0469449705721,0.998,0.994,0,"0","RPL19"
0,-1.06296958251705,0.994,0.993,0,"0","RPL36"
